波长(nm),大气消光系数(cm⁻¹)
3253.0,2.496180070701452e-06
3254.0,2.4960345174139053e-06
3255.0,2.4958898122329434e-06
3256.0,2.4957449527005654e-06
3257.0,2.497154382906821e-06
3258.0,2.4420109128948876e-06
3259.0,2.441869583608562e-06
3260.0,2.4417283670205604e-06
3261.0,2.44158748416342e-06
3262.0,2.441446436682974e-06
3263.0,2.5400992614551834e-06
3264.0,2.5399535933509524e-06
3265.0,2.5398081799587574e-06
3266.0,2.5396629721120306e-06
3267.0,2.5404914003982404e-06
3268.0,2.692542483550733e-06
3269.0,2.69238900972218e-06
3270.0,2.692236101962954e-06
3271.0,2.6920825261875784e-06
3272.0,2.69192929853346e-06
3273.0,2.6917764200989934e-06
3274.0,2.849808638969104e-06
3275.0,2.8496483342233397e-06
3276.0,2.8494872993515023e-06
3277.0,2.8493265117920983e-06
3278.0,2.850195871401381e-06
3279.0,3.0156626407494537e-06
3280.0,3.0154946053921174e-06
3281.0,3.0153271982853518e-06
3282.0,3.015160029321784e-06
3283.0,3.014992685675689e-06
3284.0,3.0148254111665803e-06
3285.0,3.016057148861944e-06
3286.0,3.015890928945849e-06
3287.0,3.015724638983547e-06
3288.0,3.015558590910141e-06
3289.0,3.016374652315592e-06
3290.0,2.856783749137075e-06
3291.0,2.8566237288775367e-06
3292.0,2.8564635973374906e-06
3293.0,2.8563033350224476e-06
3294.0,2.8561435438482846e-06
3295.0,2.6411684797202316e-06
3296.0,2.641016437860814e-06
3297.0,2.640864086352435e-06
3298.0,2.6407123967935475e-06
3299.0,2.640560204667297e-06
3300.0,2.6421497802114074e-06
3301.0,2.3789024124933595e-06
3302.0,2.378759484924332e-06
3303.0,2.378617352717863e-06
3304.0,2.3784755417789568e-06
3305.0,2.378332879030339e-06
3306.0,2.0380144224227493e-06
3307.0,2.0378896249257546e-06
3308.0,2.0377643197575296e-06
3309.0,2.0376396026752543e-06
3310.0,2.037515168503022e-06
3311.0,2.0383856028949135e-06
3312.0,1.839330148918373e-06
3313.0,1.8392155858861815e-06
3314.0,1.8391010491865215e-06
3315.0,1.8389865349541768e-06
3316.0,1.8388721921242614e-06
3317.0,2.0351616873650446e-06
3318.0,2.0350348633419742e-06
3319.0,2.034908420172946e-06
3320.0,2.034781532661213e-06
3321.0,2.0346548246116774e-06
3322.0,2.035110789551772e-06
3323.0,2.414310973056084e-06
3324.0,2.4141613659802145e-06
3325.0,2.4140118652792624e-06
3326.0,2.413861934390739e-06
3327.0,2.4137127423621817e-06
3328.0,2.7965611558092564e-06
3329.0,2.7963946732822154e-06
3330.0,2.7962281219384416e-06
3331.0,2.7960614245156775e-06
3332.0,2.795894754133683e-06
3333.0,2.7979487017309266e-06
3334.0,3.010611896020946e-06
3335.0,3.0104393335764024e-06
